"species","grids"
"Crataegus_pinnida","v15070"
"Crepidiastrum_chelidoniifolium","v15070"
"Galium_verum","v15070"
"Hepatica_nobilis","v15070"
"Pilea_pumila","v15070"
"Sanguisorba_officinalis","v15070"
"Crataegus_pinnida","v15071"
"Crepidiastrum_chelidoniifolium","v15071"
"Galium_verum","v15071"
"Hepatica_nobilis","v15071"
"Lonicera_japonica","v15071"
"Pilea_pumila","v15071"
"Sanguisorba_officinalis","v15071"
"Vicia_unijuga","v15071"
"Crataegus_pinnida","v15427"
"Crepidiastrum_chelidoniifolium","v15427"
"Pilea_pumila","v15427"
"Crataegus_pinnida","v15428"
"Crepidiastrum_chelidoniifolium","v15428"
"Galium_verum","v15428"
"Pilea_pumila","v15428"
"Sanguisorba_officinalis","v15428"
"Crataegus_pinnida","v15429"
"Crepidiastrum_chelidoniifolium","v15429"
"Galium_verum","v15429"
"Pilea_pumila","v15429"
"Sanguisorba_officinalis","v15429"
"Angelica_polymorpha","v15430"
"Crataegus_pinnida","v15430"
"Crepidiastrum_chelidoniifolium","v15430"
"Galium_verum","v15430"
"Pilea_pumila","v15430"
"Sanguisorba_officinalis","v15430"
"Angelica_polymorpha","v15431"
"Crataegus_pinnida","v15431"
"Crepidiastrum_chelidoniifolium","v15431"
"Galium_verum","v15431"
"Hepatica_nobilis","v15431"
"Pilea_pumila","v15431"
"Sanguisorba_officinalis","v15431"
"Acer_triflorum","v15785"
"Adenocaulon_himalaicum","v15785"
"Callicarpa_dichotoma","v15785"
"Carpinus_cordata","v15785"
"Cercis_chinensis","v15785"
"Corydalis_turtschaninovii","v15785"
"Crataegus_pinnida","v15785"
"Crepidiastrum_chelidoniifolium","v15785"
"Geranium_sibiricum","v15785"
"Hepatica_nobilis","v15785"
"Hypericum_japonicum","v15785"
"Lysimachia_barystachys","v15785"
"Parthenocissus_tricuspidata","v15785"
"Persicaria_orientalis","v15785"
"Pilea_pumila","v15785"
"Acer_triflorum","v15786"
"Adenocaulon_himalaicum","v15786"
"Carpinus_cordata","v15786"
"Cercis_chinensis","v15786"
"Crataegus_pinnida","v15786"
"Crepidiastrum_chelidoniifolium","v15786"
"Geranium_sibiricum","v15786"
"Pilea_pumila","v15786"
"Acer_triflorum","v15787"
"Carpinus_cordata","v15787"
"Crataegus_pinnida","v15787"
"Crepidiastrum_chelidoniifolium","v15787"
"Geranium_sibiricum","v15787"
"Pilea_pumila","v15787"
"Crataegus_pinnida","v15788"
"Crepidiastrum_chelidoniifolium","v15788"
"Galium_verum","v15788"
"Pilea_pumila","v15788"
"Sanguisorba_officinalis","v15788"
"Angelica_polymorpha","v15789"
"Cornus_controversa","v15789"
"Crataegus_pinnida","v15789"
"Crepidiastrum_chelidoniifolium","v15789"
"Galium_verum","v15789"
"Pilea_pumila","v15789"
"Sanguisorba_officinalis","v15789"
"Angelica_polymorpha","v15790"
"Cornus_controversa","v15790"
"Crataegus_pinnida","v15790"
"Crepidiastrum_chelidoniifolium","v15790"
"Elsholtzia_ciliata","v15790"
"Galium_verum","v15790"
"Pilea_pumila","v15790"
"Sanguisorba_officinalis","v15790"
"Acer_triflorum","v16145"
"Callicarpa_dichotoma","v16145"
"Carpinus_cordata","v16145"
"Cercis_chinensis","v16145"
"Corydalis_turtschaninovii","v16145"
"Crataegus_pinnida","v16145"
"Crepidiastrum_chelidoniifolium","v16145"
"Geranium_sibiricum","v16145"
"Hepatica_nobilis","v16145"
"Hypericum_japonicum","v16145"
"Lysimachia_barystachys","v16145"
"Parthenocissus_tricuspidata","v16145"
"Persicaria_orientalis","v16145"
"Pilea_pumila","v16145"
"Ulmus_davidiana","v16145"
"Acer_triflorum","v16146"
"Adenocaulon_himalaicum","v16146"
"Callicarpa_dichotoma","v16146"
"Carpinus_cordata","v16146"
"Cercis_chinensis","v16146"
"Corydalis_turtschaninovii","v16146"
"Crataegus_pinnida","v16146"
"Crepidiastrum_chelidoniifolium","v16146"
"Flueggea_suffruticosa","v16146"
"Geranium_sibiricum","v16146"
"Hepatica_nobilis","v16146"
"Hypericum_japonicum","v16146"
"Lysimachia_barystachys","v16146"
"Parthenocissus_tricuspidata","v16146"
"Persicaria_orientalis","v16146"
"Pilea_pumila","v16146"
"Staphylea_bumalda","v16146"
"Ulmus_davidiana","v16146"
"Acer_triflorum","v16147"
"Adenocaulon_himalaicum","v16147"
"Carpinus_cordata","v16147"
"Cercis_chinensis","v16147"
"Crataegus_pinnida","v16147"
"Crepidiastrum_chelidoniifolium","v16147"
"Geranium_sibiricum","v16147"
"Pilea_pumila","v16147"
"Staphylea_bumalda","v16147"
"Angelica_polymorpha","v16148"
"Carpinus_cordata","v16148"
"Cornus_controversa","v16148"
"Crataegus_pinnida","v16148"
"Crepidiastrum_chelidoniifolium","v16148"
"Galium_verum","v16148"
"Geranium_sibiricum","v16148"
"Pilea_pumila","v16148"
